ID,Language_ID,Name,Comment
4867872503,even1260,NP-nom,
4867873939,even1260,NP-abl,
4867889953,even1260,NP-acc,
4867978286,even1260,NP-all,
4867990112,even1260,NP-dat,
4868010847,even1260,NP-instr,
4868174570,even1260,NP-loc,
4868439140,even1260,NP-gen,
4869829538,even1260,NP-prol,
6996428779,even1260,NP-nom V.subj,
7981437244,even1260,NP-com,
8083330622,stan1295,NP-nom V.subj,
8083333934,stan1295,NP-acc,
8413062418,stan1295,vor+NP-dat,
8413353553,stan1295,NP-dat,
8413487459,stan1295,in+NP-acc,
8413631156,stan1295,nach+NP-dat,
8455294908,stan1295,auf+NP-acc,
8455851850,stan1295,mit+NP-dat,
8455937228,stan1295,um+NP-acc,
8456466350,stan1295,aus+NP-dat,
8456616436,stan1295,PREP+NP-case,
8628519917,stan1295,LOC,
8629317318,stan1295,von+NP-dat,
8629353213,stan1295,an+NP-acc,
9269122824,stan1295,NP-nom,
12275242178,stan1295,zu+NP-dat,
6406965397,russ1263,NP-nom & V.subj,
6406973644,russ1263,NP-acc,
6406975137,russ1263,NP-instr,
6900880654,russ1263,NP-dat,
6984461760,russ1263,NP-gen,
7114852898,russ1263,na+NP-acc,
7114868841,russ1263,k+NP-dat,
7114901578,russ1263,LOC,
7115089242,russ1263,u+NP-gen,
7115419229,russ1263,ot+NP-gen,
7115593432,russ1263,s+NP-gen,
7115673373,russ1263,iz+NP-gen,
7115704093,russ1263,UTT,
7116070712,russ1263,za+NP-instr,
7116092033,russ1263,v+NP-acc,
7116162503,russ1263,o+NP-loc,
7116186264,russ1263,na+NP-loc,
7720533516,russ1263,s+NP-instr,
8024426843,russ1263,NP-dat & V.subj,
10441584244,russ1263,iz/ot+NP-gen,
3721243445,hoch1243,act.V,verb(al complex) inflected with the actor/active paradigm
3721244147,hoch1243,obj:und.V,undergoer of transitive verbs
3721247635,hoch1243,LOC, ((NP)-eeja or other location adverbial)
3789109199,hoch1243,Ø,unmarked NP
7669523136,hoch1243,UTT,
7669959754,hoch1243,LOC & obj:und.V,
12032307932,hoch1243,sbj:und.V,subject undergoer (of intransitive verbs)
7195639628,stan1293,with+NP,
7201545353,stan1293,NP-nom V.subj,
7201552173,stan1293,NP-acc,
7202017067,stan1293,to+NP,
7202042770,stan1293,about+NP,
7202117971,stan1293,from+NP,
7202155949,stan1293,at+NP,
7202176102,stan1293,Ø,
7202404036,stan1293,from+NP,
7202469049,stan1293,of+NP,
7202482941,stan1293,for+NP,
12325669690,stan1293,LOC,
12333890968,stan1293,UTT,
4522850980,bora1263,NP-nom,
4522863495,bora1263,NP-acc,
4522865593,bora1263,NP-all,
4522868025,bora1263,NP-abl,
4522902319,bora1263,NP-inst,
4522925402,bora1263,NP-soc,
4522981503,bora1263,NP-loc,
11314939158,bora1263,UTT,
12101313760,bora1263,NP-loc/instr,
4445257393,sril1245,Ø,
4445258970,sril1245,NP-dat,
4445262885,sril1245,NP-acc,
4445263377,sril1245,NP-abl,
4445340242,sril1245,NP-assoc,
4445387613,sril1245,NP-loc,
10320354143,sril1245,LOC,
12333839069,sril1245,UTT,
12524889682,sril1245,NP+katha,
12524901033,sril1245,NP+atthas,
4656228528,yaqu1251,NP-acc,
4656231573,yaqu1251,Ø,
4656390860,yaqu1251,NP-dir,
4656646213,yaqu1251,NP-loc,
4670431198,yaqu1251,NP-instr,
11237218450,yaqu1251,NP-nom,
11244288762,yaqu1251,NP-acc-dir,
13408050418,yaqu1251,UTT,
3866239171,indo1316,Ø,
10504686003,indo1316,ke+NP,
10504700065,indo1316,LOC,
10512735274,indo1316,UTT,
10512801327,indo1316,PREP+NP,
10512803264,indo1316,soal+NP,
10512826651,indo1316,ama-NP,
10513407538,indo1316,dari-NP,
12732189519,kore1280,NP-nom,
12732190611,kore1280,NP-acc,
12732191686,kore1280,NP-instr,
12732207049,kore1280,NP-loc,
12732329350,kore1280,NP-dir,
12732351241,kore1280,NP-dat,
12732569051,kore1280,NP-quot,
12732767072,kore1280,NP-com,
12733206313,kore1280,LOC,
12733349826,kore1280,NP-abl,
13346375917,kore1280,NP+ap-loc,
13346629005,kore1280,UTT,
3797285842,zenz1235,Ø,
3797300043,zenz1235,lóʔō+NP,
3797305343,zenz1235,jiʔį̄+NP,
5993900296,zenz1235,LOC,
15573214929,zenz1235,UTT,
5240987739,nenn1238,NP-erg & V.act,
5240988877,nenn1238,NP-abs & und.V,
5241027869,nenn1238,NP-abl,
5241066089,nenn1238,NP-loc,
5241072923,nenn1238,NP-abs,
5241181180,nenn1238,NP-dat,
5241240766,nenn1238,NP-dat & und.V,
5241408394,nenn1238,NP-dat-abl,
5291654559,nenn1238,NP-abs & V.act,
10685486466,nenn1238,NP-obl & und.V,
11912437253,nenn1238,NP-all,
12654960280,nenn1238,NP-com,
12739498579,nenn1238,LOC,
12739557748,nenn1238,NP-obl,
10650024545,nuuu1241,Ø,
10650034039,nuuu1241,NP-dat,
10650045224,nuuu1241,ng+NP,
10650739376,nuuu1241,CLAUSE,
12212658581,nuuu1241,UTT,
4567000107,stan1318,V.subj NP-nom,
4567001063,stan1318,NP-acc,
4567009252,stan1318,bi+NP,
4567030827,stan1318,ʾilâ+NP,
4567039175,stan1318,ʿan+NP,
4567063362,stan1318,li+NP,
4567067823,stan1318,Ø,
4567104644,stan1318,min+NP,
4567121938,stan1318,fī+NP,
4567349019,stan1318,not provided,
4567359949,stan1318,maʿa+NP,
4567937063,stan1318,ʿalâ+NP,
6381995994,stan1318,LOC,
10561673899,stan1318,NP-nom,
15573211640,stan1318,UTT,
3798134060,bezh1248,NP-erg,
3798302261,bezh1248,NP-sup,
3798303864,bezh1248,NP-abs & abs.V,"noun class-agreement ob the verb and the argumentt in the absolutive (on intransitive verbs as well, see THINK or FOLLOW)"
3798318557,bezh1248,NP-lat,
3798394299,bezh1248,NP-instr,
3798439534,bezh1248,NP-poss,
3857062946,bezh1248,UTT,
3857094608,bezh1248,NP-iness,
3876606349,bezh1248,NP-com,
3876644125,bezh1248,NP-possabl,
9061111961,bezh1248,NP-loc,
9069537823,bezh1248,NP-gen,
9075623131,bezh1248,NP-abl,
9076066673,bezh1248,NP-supabl,
9604703507,bezh1248,LOC,
9672567797,bezh1248,NP-abs,
9682913760,bezh1248,NP-poss & abs.V,
10510397138,bezh1248,NP-apud,
3720896347,ital1282,V.subj,
3720897935,ital1282,Ø,
3721058926,ital1282,di+NP,
3721088397,ital1282,a+NP,
3721129918,ital1282,da+NP,
3901186743,ital1282,su+NP,
7080023667,ital1282,per+NP,
7865891380,ital1282,daParteDi+NP,
9907756370,ital1282,LOC,
9907796986,ital1282,con+NP,
3797520096,chhi1245,NP-abs & V.obj,
3797534174,chhi1245,NP-abs,
3797565301,chhi1245,NP-erg,
3797601094,chhi1245,NP-loc,
3902121070,chhi1245,NP-abs & V.subj,
9285578960,chhi1245,NP-erg & V.agt,
9346521521,chhi1245,NP-erg & poss.V.agt,
11714054899,chhi1245,NP-loc-erg,
11714063725,chhi1245,NP-cit,
6633677756,mapu1245,V.subj,
6633711174,mapu1245,V.obj,
6633856173,mapu1245,NP+mew,
6639267384,mapu1245,Ø,
4522560507,xara1244,Ø,
4522564811,xara1244,kèwâ+NP,
4522576640,xara1244,ngê+NP,
4522596500,xara1244,tö+NP,
4522609349,xara1244,xù+NP,
4522625188,xara1244,taa+NP,
4522629709,xara1244,kè+NP,
4522760200,xara1244,wâ+NP,
10624962527,xara1244,LOC,
3797065782,como1259,V.obj,
3797068408,como1259,niniǰi+NP,
6805462756,como1259,obl-NP,
6805536151,como1259,V.sbj,
10139812187,como1259,Ø,
8455654874,emai1241,Ø,
8456434897,emai1241,vbi+NP,
8515421225,emai1241,lí+NP,
9603168343,emai1241,UTT,
9769062169,emai1241,re+NP,
9769471697,emai1241,li+CC,
9769652372,emai1241,ye+NP,
9776881264,emai1241,vbiee+NP,
9837799791,emai1241,fi/ku+e+NP,
9837830641,emai1241,vbi+NP+re,
9837877102,emai1241,li+NP+hon,
9838405703,emai1241,o+vbi+NP,
10622276343,even1259,NP-nom,
10622278259,even1259,NP-acc,
10622279983,even1259,NP-instr,
10622292681,even1259,NP-dat,
10622312500,even1259,NP-loc,
10622341019,even1259,NP-abl,
10622401907,even1259,NP-all,
10622438672,even1259,NP-prol,
10622440078,even1259,NP-com,
4568512665,mand1436,Ø,
4568515797,mand1436,NP+bala,
4568520002,mand1436,niŋ+NP,
4568533346,mand1436,NP+la,
4568577282,mand1436,NP+ye,
4568592061,mand1436,NP+kaŋ,
4568671396,mand1436,NP+bulu,
4568702890,mand1436,NP+ma,
4568795537,mand1436,NP+ti,
6813725698,mand1436,LOC,
11290384606,mand1436,NP+nooma,
13465831976,mand1436,NP+kóno,
6441812133,djam1255,NP-erg subj.V,
6441825992,djam1255,NP-abs obj.V,
6442299787,djam1255,NP-abs subj.V,
6442343122,djam1255,NP-dat,
6443140165,djam1255,NP-erg/inst,
6451104838,djam1255,NP-orig,
6451206919,djam1255,NP-all,
6468514505,djam1255,NP-abs,
6468797205,djam1255,NP-loc/-all,
6519877497,djam1255,NP-loc,
6719195000,djam1255,NP-dat V.dat,
9794159362,djam1255,CC obj.V,
10440929669,djam1255,NP-instr,
12982942811,djam1255,UTT obj.V,
13121740592,djam1255,LOC,
7080879189,nucl1643,NP-nom,
7080881783,nucl1643,NP-acc,
7080892573,nucl1643,NP-instr,
7081261397,nucl1643,NP-dat,
7081337082,nucl1643,NP-gen,
7097396938,nucl1643,NP-loc,
7192646225,nucl1643,NP-abl,
9777736867,nucl1643,NP-quot,
12333946861,nucl1643,UTT,
3996924451,kett1243,subj.V,
3996927147,kett1243,obj.V,
3996931849,kett1243,NP-instr,
3996956227,kett1243,NP-dat,
3997036702,kett1243,Ø,
3997053139,kett1243,NP-adess,adessive?
3997056735,kett1243,NP-abl,
3997201078,kett1243,NP-poss+tān,
8343910876,kett1243,NP-transl,
8349947306,kett1243,LOC,
8834653821,kett1243,UTT,
6865132880,yuca1254,sbj.V,
6865718864,yuca1254,ti'+NP,
6865729264,yuca1254,V.obj,
6865877655,yuca1254,yéetel+NP,
6865878559,yuca1254,yóok'ol+NP,
6866104025,yuca1254,LOC,
6872383505,yuca1254,POSS,
10312955926,yuca1254,tumen+NP,
3737373736,icel1247,NP-nom & V.agr,
3737374710,icel1247,NP-acc,
3737389234,icel1247,með +NP-dat,
3737398058,icel1247,yfir+NP-acc,
3737429844,icel1247,við+NP-acc,
3796462633,icel1247,af+NP-dat,
3796490959,icel1247,NP-dat,
3796495631,icel1247,inn um+NP-acc,
3834109352,icel1247,á+NP-acc,
3834126263,icel1247,úr+NP-dat,
3834142628,icel1247,UTT,
3834200385,icel1247,í+NP-dat,
3865748586,icel1247,um+NP-acc,
3892120804,icel1247,að+NP-dat,
3892194840,icel1247,fyrir+NP-dat,
3901113250,icel1247,til+NP-gen,
3901128677,icel1247,í+NP-acc,
7254492782,icel1247,frá+NP-dat,
9526797949,icel1247,LOC,
9527200416,icel1247,NP-gen,
9527452923,icel1247,NP-nom,
9527575881,icel1247,eftir+NP-dat,
9553260621,icel1247,við+NP-dat,
11799254606,icel1247,um+NP,
8818367666,hokk1249,NP-nom,
8818369383,hokk1249,NP-acc,
8818389682,hokk1249,NP-dat,
8818507725,hokk1249,NP-nituite,
8818749989,hokk1249,NP-com/dat,
8818857294,hokk1249,Ø,
8818876429,hokk1249,NP-com,
8819158681,hokk1249,NP-abl,
8827791469,hokk1249,NP-instr,
10323039583,hokk1249,NP-acc/nituite,
10348276726,hokk1249,NP-dat/niyotte,
10348756833,hokk1249,UTT,
10348807319,hokk1249,NP-niyotte,
3796601994,ainu1240,subj.V,
3796630176,ainu1240,Ø,
3796648771,ainu1240,obj.V,
3796750606,ainu1240,NP+un,
3900819357,ainu1240,LOC,
11921258534,ainu1240,NP+(e)un,
11921385157,ainu1240,NP+ani,
12499897703,ainu1240,NP-wa,
3833974892,east2526,NP-nom,
3833976654,east2526,NP-dat,
3833984981,east2526,NP-instr,
3834057362,east2526,NP-cit,
3839685245,east2526,NP-gen,
3866174560,east2526,NP-exp,
3892270291,east2526,NP-acc,
3892398363,east2526,NP-loc/com,
3892473043,east2526,NP-abl,
3901611320,east2526,NP-dat/acc,
9899639603,east2526,NP-loc,
9899685068,east2526,NP-loc/dat,
12333954831,east2526,UTT,
3797857495,mand1415,Ø,
3797934175,mand1415,yòng+NP,
3798033189,mand1415,ba+NP,
3850605163,mand1415,zài+NP,
3850620585,mand1415,duì+NP,
3892594671,mand1415,gēn+NP,
3892602244,mand1415,wèn+NP,
3892641616,mand1415,PREP+NP,
3892672395,mand1415,cóng+NP,
3901671931,mand1415,gěi+NP,
3901681479,mand1415,zài+NP+loc,see ex. 64
11124251564,mand1415,LOC,
12334023675,mand1415,UTT,
5819277716,bali1278,Ø,
5838343599,bali1278,teken+NP,
5838384713,bali1278,aji+NP,
5838448248,bali1278,uli+NP,
5838505862,bali1278,ke+NP,
5838596319,bali1278,di+NP,
12378074397,bali1278,unduk+NP,
12378177271,bali1278,UTT,
6995275355,yoru1245,Ø,
6995334179,yoru1245,nípa+NP,
6995344858,yoru1245,fún+NP,
6995383806,yoru1245,ní+NP,
6995441528,yoru1245,fi+NP,
6995534247,yoru1245,sí+NP,
6995558040,yoru1245,LOC,
7004389949,yoru1245,mó̩+NP,
9001085766,otta1242,V.objI,
9001138205,otta1242,∅,
9121661476,otta1242,NP-loc,
9181957936,otta1242,V.objII,
9224892496,otta1242,V.subjS,
9225954112,otta1242,subjA.V,
9587420160,otta1242,UTT,
7911271655,east2283,NP-nom V.subj,
7911276548,east2283,NP-nomdat,
7911308161,east2283,NP-instr,
7911602239,east2283,LOC,
7911750067,east2283,NP-abl,
7911839146,east2283,NP-dat,
7918806868,east2283,NP-nom,
7918947154,east2283,NP+het,
7918951689,east2283,NP+masin,
8083292411,east2283,NP-gen+vra,
10026612471,east2283,UTT,
12214850048,east2283,NP-gen,
13485574125,east2283,NP+vra,
